Node,Degree
health,0.7114093959731543
support,0.697986577181208
result,0.6308724832214765
outcome,0.5973154362416108
disorder,0.5973154362416108
depression,0.5906040268456376
stress,0.5369127516778524
anxiety,0.5369127516778524
participant,0.5167785234899329
student,0.5033557046979865
behavior,0.44966442953020136
medical,0.42953020134228187
policy,0.42953020134228187
condition,0.42953020134228187
physical,0.4161073825503356
longitudinal,0.40268456375838924
healthcare,0.3959731543624161
characteristic,0.3825503355704698
type,0.37583892617449666
comparison,0.36912751677852346
fear,0.3624161073825503
therapy,0.3624161073825503
member,0.3624161073825503
involve,0.3422818791946309
isolation,0.33557046979865773
trauma,0.3221476510067114
worker,0.3221476510067114
resilience,0.31543624161073824
cause,0.31543624161073824
related,0.2953020134228188
acute,0.2953020134228188
organization,0.2751677852348993
suicidal,0.2684563758389262
stigma,0.2550335570469799
wellbeing,0.24161073825503354
centre,0.2348993288590604
select,0.2348993288590604
barrier,0.22818791946308725
adjustment,0.22818791946308725
proportion,0.22147651006711408
instrument,0.22147651006711408
carry,0.22147651006711408
course,0.22147651006711408
definition,0.21476510067114093
decision,0.21476510067114093
collection,0.2080536912751678
ity,0.2080536912751678
participate,0.20134228187919462
attempt,0.20134228187919462
recommend,0.19463087248322147
